component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,absolute_limit_uA,ground_truth,static_pass_168h,drift_0_24_uA_per_h,drift_24_96_uA_per_h,drift_96_168_uA_per_h,overall_drift_uA_per_h,lot_baseline_mean_uA,lot_baseline_std_uA,iddq_24h_zscore,iddq_96h_zscore,iddq_168h_zscore
C100129,LOT-010,IC_A,124.84,3.285,10.675,10.913,11.133,11.686,50.0,Normal,True,0.009916666666666648,0.0030555555555555397,0.007680555555555567,0.006017857142857138,12.905142,4.3537982539741815,-0.4575641506083927,-0.40703355934840924,-0.28001802768126827
C040016,LOT-004,IC_A,126.01,3.265,9.84,9.836,9.714,9.902,50.0,Normal,True,-0.0001666666666666483,-0.0016944444444444429,0.002611111111111095,0.0003690476190476154,10.701696,3.832831406253284,-0.22586331310780128,-0.2576935678382745,-0.20864366710607013
C100455,LOT-010,IC_A,124.78,3.286,10.529,10.908,10.897,11.352,50.0,Normal,True,0.01579166666666665,-0.00015277777777776712,0.006319444444444445,0.004898809523809526,12.905142,4.3537982539741815,-0.45871257313702885,-0.4612391027000278,-0.3567326525941525
C060419,LOT-006,IC_A,126.97,3.311,22.819,22.917,23.53,24.182,50.0,High_Stable,True,0.004083333333333439,0.008513888888888883,0.00905555555555552,0.008113095238095235,11.337624,3.811839389807939,3.0377397408088154,3.1985544911991477,3.369600522609419
C090411,LOT-009,IC_A,125.05,3.287,9.453,10.021,10.098,10.851,50.0,Normal,True,0.023666666666666725,0.0010694444444444438,0.010458333333333335,0.00832142857142858,11.39196,3.751426574663322,-0.3654503087596849,-0.344924783744735,-0.1442011430141206
C020076,LOT-002,IC_A,126.16,3.265,10.877,10.829,11.024,11.067,50.0,Normal,True,-0.0020000000000000018,0.0027083333333333126,0.0005972222222222366,0.0011309523809523779,11.022252,4.154165292215281,-0.04652005551202906,0.000420782486261408,0.01077183907050015
C060208,LOT-006,IC_A,127.31,3.31,9.563,9.596,10.049,10.242,50.0,Normal,True,0.001374999999999978,0.006291666666666658,0.002680555555555575,0.004041666666666668,11.337624,3.811839389807939,-0.45689857884798035,-0.3380583146932978,-0.2874265906715452
C020405,LOT-002,IC_A,126.23,3.275,9.705,9.9,10.243,10.349,50.0,Normal,True,0.008125000000000012,0.004763888888888889,0.0014722222222222205,0.003833333333333334,11.022252,4.154165292215281,-0.27015102218080955,-0.1875832917530467,-0.16206673366166813
C020131,LOT-002,IC_A,126.16,3.272,8.014,8.355,9.419,31.673,50.0,Sudden_Anomaly,True,0.014208333333333378,0.014777777777777779,0.3090833333333333,0.14082738095238095,11.022252,4.154165292215281,-0.64206689247496,-0.38593842257659355,4.971094443136043
C030086,LOT-003,IC_A,125.72,3.307,15.995,23.483,37.626,59.961,50.0,Absolute_Failure,False,0.31200000000000006,0.19643055555555552,0.31020833333333336,0.26170238095238096,11.715506,3.855729485024512,3.051950103269548,6.7199978890208065,12.512676054527018
C050466,LOT-005,IC_A,125.55,3.312,11.637,12.737,22.907,40.851,50.0,Latent_Defect,True,0.045833333333333316,0.14125,0.2492222222222222,0.17389285714285713,13.060988,4.494286612596969,-0.07208886035258605,2.190784177493878,6.183408935715801
C100044,LOT-010,IC_A,124.73,3.29,12.544,12.415,12.963,13.292,50.0,Normal,True,-0.005375000000000056,0.007611111111111112,0.004569444444444453,0.004452380952380948,12.905142,4.3537982539741815,-0.11257802300614068,0.013289086132364144,0.08885528851661262
C070372,LOT-007,IC_A,125.49,3.297,11.687,11.741,11.97,12.668,50.0,Normal,True,0.002250000000000011,0.0031805555555555693,0.009694444444444426,0.0058392857142857135,10.989696,3.957974929515009,0.18982030290223703,0.24767817317127927,0.4240309829869615
C070490,LOT-007,IC_A,125.53,3.297,21.85,22.309,22.428,22.83,50.0,High_Stable,True,0.019124999999999986,0.0016527777777777747,0.005583333333333298,0.0058333333333333145,10.989696,3.957974929515009,2.859872586759162,2.889938466942638,2.991505557982615
C060396,LOT-006,IC_A,127.35,3.31,9.112,9.242,9.38,9.929,50.0,Normal,True,0.005416666666666699,0.0019166666666666653,0.007624999999999993,0.004863095238095239,11.337624,3.811839389807939,-0.5497671296443547,-0.513564135266107,-0.3695391793700347
C070074,LOT-007,IC_A,125.64,3.302,10.002,10.226,10.534,10.647,50.0,Normal,True,0.009333333333333341,0.004277777777777775,0.0015694444444444382,0.0038392857142857117,10.989696,3.957974929515009,-0.19295119691260376,-0.11513362467301894,-0.08658367122148306
C090234,LOT-009,IC_A,124.62,3.281,9.095,8.944,9.48,9.707,50.0,Normal,True,-0.006291666666666658,0.007444444444444438,0.003152777777777782,0.0036428571428571434,11.39196,3.751426574663322,-0.6525410937090498,-0.5096621143842035,-0.44915180037909125
C010320,LOT-001,IC_A,126.32,3.31,8.988,8.961,9.285,9.295,50.0,Normal,True,-0.0011249999999999687,0.004499999999999998,0.00013888888888888593,0.0018273809523809547,11.623093999999998,4.010721666950165,-0.6637443884317978,-0.5829609217879068,-0.5804676049161818
C060274,LOT-006,IC_A,127.22,3.303,24.549,24.879,24.752,25.714,50.0,High_Stable,True,0.013750000000000076,-0.0017638888888889229,0.013361111111111108,0.0069345238095238045,11.337624,3.811839389807939,3.5524518782734678,3.5191346298239203,3.771506228315763
C030487,LOT-003,IC_A,125.73,3.3,10.491,10.726,10.99,11.36,50.0,Normal,True,0.009791666666666718,0.0036666666666666575,0.005138888888888878,0.0051726190476190466,11.715506,3.855729485024512,-0.2566326304382083,-0.1881630967156367,-0.09220200778627499
C040134,LOT-004,IC_A,126.21,3.272,9.74,9.879,10.484,10.971,50.0,Normal,True,0.005791666666666639,0.008402777777777783,0.0067638888888888905,0.0073273809523809515,10.701696,3.832831406253284,-0.21464445283394615,-0.056797697818074644,0.07026241737651939
C060059,LOT-006,IC_A,126.98,3.304,9.244,9.193,9.071,9.586,50.0,Normal,True,-0.0021250000000000067,-0.0016944444444444429,0.007152777777777786,0.0020357142857142887,11.337624,3.811839389807939,-0.5626218160540227,-0.5946273618087055,-0.4595219842377084
C040263,LOT-004,IC_A,126.39,3.264,8.385,8.303,8.259,8.422,50.0,Normal,True,-0.0034166666666666234,-0.0006111111111111178,0.0022638888888888925,0.00022023809523810005,10.701696,3.832831406253284,-0.6258287270571083,-0.6373084910582628,-0.594781183508532
C080291,LOT-008,IC_A,123.48,3.33,9.402,9.496,9.451,9.628,50.0,Normal,True,0.003916666666666717,-0.000624999999999999,0.002458333333333328,0.0013452380952381003,11.11735,3.8795692423918693,-0.41792010883156433,-0.4295193347219769,-0.38389571288635427
C030425,LOT-003,IC_A,125.79,3.305,10.896,10.924,10.86,10.779,50.0,Normal,True,0.0011666666666666121,-0.0008888888888888897,-0.0011249999999999932,-0.0006964285714285767,11.715506,3.855729485024512,-0.20528048014627984,-0.22187915498811542,-0.24288685283481343
C060450,LOT-006,IC_A,127.18,3.305,10.384,10.519,10.573,11.01,50.0,Normal,True,0.005624999999999991,0.0007500000000000037,0.006069444444444436,0.003726190476190473,11.337624,3.811839389807939,-0.21475826137607715,-0.20059187227154537,-0.08594905674042778
C010008,LOT-001,IC_A,126.52,3.306,11.18,11.158,11.368,11.978,50.0,Normal,True,-0.0009166666666666767,0.0029166666666666785,0.008472222222222214,0.00475,11.623093999999998,4.010721666950165,-0.11596267171380802,-0.06360301740758208,0.08848931176764488
C050227,LOT-005,IC_A,125.39,3.311,11.993,13.541,27.459,41.455,50.0,Latent_Defect,True,0.0645,0.19330555555555554,0.19438888888888886,0.1753690476190476,13.060988,4.494286612596969,0.10680493732967136,3.203625678799395,6.3178017887009785
C040193,LOT-004,IC_A,126.48,3.27,22.988,23.033,24.028,23.617,50.0,High_Stable,True,0.001875000000000071,0.013819444444444409,-0.005708333333333303,0.003744047619047627,10.701696,3.832831406253284,3.217283176056587,3.476882384719053,3.3696509527991805
C100103,LOT-010,IC_A,124.75,3.291,27.528,28.056,27.672,28.91,50.0,High_Stable,True,0.022000000000000092,-0.005333333333333338,0.01719444444444444,0.008226190476190484,12.905142,4.3537982539741815,3.4799173310729725,3.391718480873728,3.6760678989639994
C020152,LOT-002,IC_A,126.2,3.275,7.469,7.486,7.233,7.431,50.0,Normal,True,0.0007083333333333108,-0.0035138888888888906,0.0027500000000000055,-0.0002261904761904777,11.022252,4.154165292215281,-0.8512545243750357,-0.9121572526497412,-0.864494247913015
C100361,LOT-010,IC_A,124.92,3.294,12.075,12.082,12.188,12.093,50.0,Normal,True,0.0002916666666667271,0.0014722222222222205,-0.0013194444444444534,0.0001071428571428612,12.905142,4.3537982539741815,-0.18906296341329742,-0.1647164058062144,-0.18653643385029842
C070026,LOT-007,IC_A,125.75,3.292,12.115,12.204,12.306,12.619,50.0,Normal,True,0.0037083333333333504,0.0014166666666666464,0.004347222222222231,0.0029999999999999975,10.989696,3.957974929515009,0.3067993157169379,0.3325700701599169,0.4116509146761186
C100423,LOT-010,IC_A,124.56,3.276,11.125,11.398,11.975,12.395,50.0,Normal,True,0.011374999999999988,0.008013888888888888,0.005833333333333333,0.007559523809523807,12.905142,4.3537982539741815,-0.34616716533070147,-0.21363920552610793,-0.11717171312068456
C020154,LOT-002,IC_A,126.3,3.264,10.83,10.788,11.16,11.529,50.0,Normal,True,-0.0017499999999999922,0.005166666666666665,0.005124999999999997,0.004160714285714285,11.022252,4.154165292215281,-0.05638966760397748,0.03315900796199269,0.1219855167895276
C030298,LOT-003,IC_A,125.35,3.311,8.176,8.258,8.708,9.203,50.0,Normal,True,0.0034166666666666234,0.006250000000000015,0.006874999999999989,0.0061130952380952334,11.715506,3.855729485024512,-0.896719029026493,-0.7800095965448364,-0.6516292208150146
C060446,LOT-006,IC_A,127.13,3.314,9.995,9.895,10.103,10.149,50.0,Normal,True,-0.004166666666666652,0.0028888888888888914,0.0006388888888888803,0.0009166666666666661,11.337624,3.811839389807939,-0.37845875769511045,-0.323891925588766,-0.31182426079601694
C040091,LOT-004,IC_A,126.4,3.267,10.583,10.394,10.775,11.09,50.0,Normal,True,-0.007875000000000002,0.00529166666666667,0.0043749999999999935,0.0030178571428571407,10.701696,3.832831406253284,-0.0802790332749811,0.019125286825923103,0.10130996092509569
C050020,LOT-005,IC_A,125.19,3.311,12.225,12.235,12.795,13.222,50.0,Normal,True,0.0004166666666666578,0.0077777777777777845,0.00593055555555555,0.005934523809523809,13.060988,4.494286612596969,-0.18378623154225435,-0.059183586390433196,0.035825930537830265
C070473,LOT-007,IC_A,125.53,3.29,10.194,10.436,10.761,11.406,50.0,Normal,True,0.010083333333333297,0.004513888888888879,0.008958333333333353,0.007214285714285713,10.989696,3.957974929515009,-0.1398937612947052,-0.05778106331462398,0.10518106036892257
C100389,LOT-010,IC_A,124.99,3.282,24.63,25.276,25.343,26.113,50.0,High_Stable,True,0.0269166666666667,0.000930555555555558,0.010694444444444439,0.008827380952380956,12.905142,4.3537982539741815,2.84139440515136,2.8567832670350826,3.0336403364450253
C020183,LOT-002,IC_A,126.06,3.272,8.295,8.46,8.461,8.391,50.0,Normal,True,0.006875000000000038,1.3888888888881192e-05,-0.0009722222222222262,0.0005714285714285719,11.022252,4.154165292215281,-0.6167910566297263,-0.6165503343835814,-0.6334008916137371
C030326,LOT-003,IC_A,125.68,3.313,11.145,11.378,11.505,11.791,50.0,Normal,True,0.009708333333333355,0.0017638888888888982,0.003972222222222216,0.0038452380952381,11.715506,3.855729485024512,-0.08753363048700856,-0.054595635097740916,0.0195796931017117
C060411,LOT-006,IC_A,127.27,3.304,8.193,8.177,8.298,8.177,50.0,Normal,True,-0.0006666666666666673,0.0016805555555555617,-0.0016805555555555617,-9.523809523809532e-05,11.337624,3.811839389807939,-0.8291598036503972,-0.7974165984346872,-0.8291598036503972
C070350,LOT-007,IC_A,125.32,3.293,8.809,8.91,9.012,9.283,50.0,Normal,True,0.0042083333333333695,0.001416666666666671,0.0037638888888888752,0.002821428571428573,10.989696,3.957974929515009,-0.5254444601181029,-0.49967370567512337,-0.4312043482825019
C070186,LOT-007,IC_A,125.39,3.29,10.137,10.169,10.468,10.85,50.0,Normal,True,0.0013333333333333346,0.004152777777777771,0.005305555555555551,0.004244047619047614,10.989696,3.957974929515009,-0.20735250086603352,-0.13180881872435873,-0.035294816790847734
C080114,LOT-008,IC_A,123.07,3.339,10.318,10.498,11.109,11.141,50.0,Normal,True,0.0074999999999999884,0.00848611111111112,0.00044444444444444485,0.004898809523809526,11.11735,3.8795692423918693,-0.15964401233837835,-0.002152300804109906,0.006096037606850142
C050213,LOT-005,IC_A,125.17,3.308,24.608,25.196,25.053,25.768,50.0,High_Stable,True,0.02450000000000004,-0.0019861111111111208,0.009930555555555554,0.006904761904761906,13.060988,4.494286612596969,2.700097489551947,2.6682793140935357,2.827370191385593
C030492,LOT-003,IC_A,125.55,3.313,8.93,8.944,9.201,9.231,50.0,Normal,True,0.0005833333333333801,0.0035694444444444398,0.0004166666666666578,0.0017916666666666675,11.715506,3.855729485024512,-0.7188019830655675,-0.6521479294038217,-0.6443673005717114
C050288,LOT-005,IC_A,125.16,3.312,11.93,12.109,12.247,12.425,50.0,Normal,True,0.007458333333333345,0.0019166666666666653,0.0024722222222222337,0.0029464285714285773,13.060988,4.494286612596969,-0.21182182670141397,-0.18111617486042952,-0.14151033408002908
C090037,LOT-009,IC_A,125.04,3.295,22.388,22.625,23.255,23.286,50.0,High_Stable,True,0.00987499999999993,0.008749999999999987,0.0004305555555555883,0.005345238095238093,11.39196,3.751426574663322,2.9943382274536794,3.1622743412123606,3.170537864270328
C080153,LOT-008,IC_A,123.16,3.333,9.681,9.699,10.013,10.626,50.0,Normal,True,0.0007500000000000284,0.004361111111111112,0.008513888888888883,0.0056250000000000015,11.11735,3.8795692423918693,-0.36559471203703675,-0.2846578913794913,-0.12665065869453815
C010479,LOT-001,IC_A,126.86,3.301,9.995,9.874,10.581,10.891,50.0,Normal,True,-0.005041666666666611,0.00981944444444443,0.0043055555555555625,0.005333333333333338,11.623093999999998,4.010721666950165,-0.43610455804330217,-0.2598270552123425,-0.1825342321888663
C020462,LOT-002,IC_A,126.18,3.264,8.923,9.132,9.664,10.415,50.0,Normal,True,0.008708333333333318,0.007388888888888889,0.010430555555555547,0.008880952380952375,11.022252,4.154165292215281,-0.45502570722023206,-0.3269614722710489,-0.14617906541609302
C030219,LOT-003,IC_A,125.63,3.294,9.344,9.708,9.894,10.412,50.0,Normal,True,0.015166666666666698,0.0025833333333333324,0.007194444444444454,0.006357142857142865,11.715506,3.855729485024512,-0.5206553021411555,-0.47241540338207094,-0.33806987888096407
C100077,LOT-010,IC_A,124.84,3.293,25.164,34.752,47.639,65.539,50.0,Absolute_Failure,False,0.3995,0.17898611111111112,0.2486111111111111,0.24032738095238096,12.905142,4.3537982539741815,5.017884781422294,7.977829006728703,12.089181659245556
C030380,LOT-003,IC_A,125.55,3.306,15.608,28.1,41.653,53.691,50.0,Absolute_Failure,False,0.5205000000000001,0.18823611111111108,0.1671944444444445,0.2266845238095238,11.715506,3.855729485024512,4.249388880531344,7.764417632584429,10.886524628615941
C060471,LOT-006,IC_A,127.22,3.297,10.382,10.952,10.672,30.198,50.0,Sudden_Anomaly,True,0.02375000000000001,-0.00388888888888888,0.27119444444444446,0.11795238095238096,11.337624,3.811839389807939,-0.10116480800085069,-0.17462015891323718,4.9478412050698415
C030312,LOT-003,IC_A,125.54,3.305,10.909,11.059,11.18,12.247,50.0,Normal,True,0.0062499999999999405,0.0016805555555555617,0.014819444444444448,0.00796428571428571,11.715506,3.855729485024512,-0.17026765040178296,-0.13888578077893746,0.13784525134979003
C080138,LOT-008,IC_A,123.21,3.342,9.277,9.439,9.797,9.838,50.0,Normal,True,0.006750000000000034,0.004972222222222229,0.000569444444444425,0.003339285714285714,11.11735,3.8795692423918693,-0.432612461626087,-0.3403341756534714,-0.32976599206442925
C010082,LOT-001,IC_A,126.61,3.315,10.031,10.317,10.44,10.981,50.0,Normal,True,0.01191666666666665,0.001708333333333324,0.007513888888888894,0.0056547619047619,11.623093999999998,4.010721666950165,-0.32565062062588324,-0.29498282310366547,-0.16009438034334103
C030493,LOT-003,IC_A,125.38,3.31,9.651,9.937,10.113,10.149,50.0,Normal,True,0.01191666666666665,0.0024444444444444466,0.0004999999999999943,0.00296428571428571,11.715506,3.855729485024512,-0.46126316872271284,-0.415616812907665,-0.40628005830913255
C080134,LOT-008,IC_A,123.21,3.336,9.138,9.602,9.459,9.585,50.0,Normal,True,0.01933333333333335,-0.0019861111111111208,0.001750000000000017,0.0026607142857142914,11.11735,3.8795692423918693,-0.3905974878452592,-0.4274572501192371,-0.39497941762608163
C060201,LOT-006,IC_A,127.45,3.302,8.863,8.895,9.15,9.113,50.0,Normal,True,0.0013333333333333346,0.0035416666666666773,-0.0005138888888889001,0.001488095238095238,11.337624,3.811839389807939,-0.6407992966679199,-0.5739024592298533,-0.5836090591718475
C020125,LOT-002,IC_A,126.19,3.271,11.064,11.485,11.33,11.864,50.0,Normal,True,0.01754166666666664,-0.002152777777777769,0.0074166666666666764,0.004761904761904766,11.022252,4.154165292215281,0.11139373795914391,0.07408178980665647,0.20262746924813
C020106,LOT-002,IC_A,126.04,3.273,10.726,10.509,10.902,11.021,50.0,Normal,True,-0.00904166666666669,0.0054583333333333185,0.0016527777777777992,0.0017559523809523806,11.022252,4.154165292215281,-0.1235511742784551,-0.028947331543438468,-0.00030138425217343526
C090174,LOT-009,IC_A,124.98,3.28,10.025,10.101,10.348,10.686,50.0,Normal,True,0.003166666666666688,0.003430555555555554,0.004694444444444433,0.003934523809523807,11.39196,3.751426574663322,-0.34412508796493174,-0.2782834687611313,-0.1881844109032993
C040414,LOT-004,IC_A,126.22,3.267,10.06,10.101,10.706,10.878,50.0,Normal,True,0.0017083333333333488,0.008402777777777759,0.002388888888888897,0.004869047619047617,10.701696,3.832831406253284,-0.1567238253735765,0.0011229296422945766,0.045998370737716024
C030264,LOT-003,IC_A,125.65,3.311,10.435,10.696,11.155,11.769,50.0,Normal,True,0.010874999999999968,0.006374999999999995,0.008527777777777789,0.007940476190476189,11.715506,3.855729485024512,-0.264413259270319,-0.1453696381390296,0.013873898624830659
C050416,LOT-005,IC_A,125.24,3.305,25.508,25.886,26.097,27.101,50.0,High_Stable,True,0.015750000000000004,0.0029305555555555842,0.013944444444444414,0.009482142857142857,13.060988,4.494286612596969,2.853625748756869,2.9005742454122876,3.1239689877916237
C070104,LOT-007,IC_A,125.32,3.297,10.129,10.322,10.623,10.798,50.0,Normal,True,0.00804166666666665,0.004180555555555558,0.0024305555555555656,0.00398214285714286,10.989696,3.957974929515009,-0.16869636920156475,-0.09264737814924315,-0.04843284846766066
C100003,LOT-010,IC_A,124.86,3.278,12.864,13.226,13.346,13.732,50.0,Normal,True,0.015083333333333337,0.0016666666666666557,0.0053611111111111,0.005166666666666658,12.905142,4.3537982539741815,0.07369611113861775,0.1012582518258814,0.18991647103657988
C060481,LOT-006,IC_A,127.65,3.302,10.298,10.389,10.511,10.999,50.0,Normal,True,0.0037916666666666377,0.0016944444444444429,0.006777777777777796,0.004172619047619051,11.337624,3.811839389807939,-0.2488625314425426,-0.21685698568785988,-0.08883480266912848
C100062,LOT-010,IC_A,124.86,3.299,9.671,9.982,10.191,10.557,50.0,Normal,True,0.01295833333333333,0.0029027777777777975,0.005083333333333329,0.00527380952380953,12.905142,4.3537982539741815,-0.6714004254404148,-0.6233963637434299,-0.5393318346472753
C060029,LOT-006,IC_A,127.11,3.304,11.482,11.512,11.801,12.193,50.0,Normal,True,0.0012500000000000473,0.0040138888888888846,0.005444444444444437,0.004232142857142859,11.337624,3.811839389807939,0.04574589382392277,0.12156230958706464,0.22439980086440584
C030356,LOT-003,IC_A,125.61,3.305,10.397,10.746,10.785,10.97,50.0,Normal,True,0.014541666666666675,0.0005416666666666625,0.0025694444444444514,0.003410714285714288,11.715506,3.855729485024512,-0.2514455445501348,-0.2413307270683913,-0.1933501826037102
C010279,LOT-001,IC_A,126.32,3.309,9.873,10.255,10.588,10.881,50.0,Normal,True,0.015916666666666728,0.004624999999999978,0.004069444444444459,0.006000000000000005,11.623093999999998,4.010721666950165,-0.3411091852305783,-0.258081733402135,-0.1850275490605913
C100449,LOT-010,IC_A,124.78,3.29,10.862,10.932,11.59,12.339,50.0,Normal,True,0.0029166666666666785,0.009138888888888882,0.010402777777777785,0.008791666666666668,12.905142,4.3537982539741815,-0.45320014499957584,-0.30206774023107935,-0.13003404544140748
C010425,LOT-001,IC_A,126.32,3.315,9.844,12.612,23.35,42.929,50.0,Latent_Defect,True,0.11533333333333336,0.1491388888888889,0.27193055555555556,0.1969345238095238,11.623093999999998,4.010721666950165,0.24656560143501216,2.9238892582933547,7.805554361443799
C060113,LOT-006,IC_A,127.07,3.309,10.755,14.306,22.829,44.738,50.0,Latent_Defect,True,0.14795833333333328,0.11837500000000002,0.3042916666666666,0.20227976190476188,11.337624,3.811839389807939,0.7787253597139522,3.0146537733792083,8.762272641734492
C090472,LOT-009,IC_A,125.14,3.284,9.436,9.107,9.733,9.803,50.0,Normal,True,-0.013708333333333359,0.008694444444444461,0.0009722222222222262,0.0021845238095238146,11.39196,3.751426574663322,-0.6090909563397405,-0.4422211036207965,-0.4235615354253874
C090324,LOT-009,IC_A,124.98,3.271,10.274,10.724,10.839,11.474,50.0,Normal,True,0.018750000000000044,0.0015972222222222251,0.008819444444444442,0.00714285714285715,11.39196,3.751426574663322,-0.17805493102579148,-0.14739992613333372,0.02186901392501966
C050252,LOT-005,IC_A,125.19,3.313,11.141,11.464,11.905,12.213,50.0,Normal,True,0.01345833333333335,0.0061249999999999855,0.004277777777777775,0.006380952380952376,13.060988,4.494286612596969,-0.35533737334949345,-0.25721279029243466,-0.1886813354589331
C080309,LOT-008,IC_A,123.33,3.333,10.052,10.55,10.787,10.948,50.0,Normal,True,0.020750000000000046,0.003291666666666668,0.0022361111111111054,0.005333333333333338,11.11735,3.8795692423918693,-0.14624046242056793,-0.08515120606439511,-0.043651753434252503
C060099,LOT-006,IC_A,127.31,3.306,21.937,22.098,22.501,22.839,50.0,High_Stable,True,0.0067083333333332424,0.005597222222222253,0.004694444444444408,0.005369047619047604,11.337624,3.811839389807939,2.822882839390084,2.9286060765961266,3.0172771787689356
C090341,LOT-009,IC_A,124.99,3.279,11.958,12.229,12.57,12.195,50.0,Normal,True,0.011291666666666625,0.004736111111111126,-0.005208333333333333,0.0014107142857142864,11.39196,3.751426574663322,0.2231257851755026,0.31402453881313835,0.2140625663377328
C030500,LOT-003,IC_A,125.46,3.305,11.99,12.25,12.31,12.614,50.0,Normal,True,0.010833333333333325,0.0008333333333333402,0.004222222222222226,0.0037142857142857177,11.715506,3.855729485024512,0.13862331423300112,0.1541845718972221,0.23302827739594115
C090089,LOT-009,IC_A,124.95,3.279,9.571,9.55,9.601,9.927,50.0,Normal,True,-0.0008749999999999591,0.0007083333333333356,0.00452777777777776,0.0021190476190476185,11.39196,3.751426574663322,-0.49100254618879435,-0.47740771793213915,-0.39050744319352027
C020081,LOT-002,IC_A,126.08,3.266,10.472,10.627,10.663,11.024,50.0,Normal,True,0.006458333333333381,0.0004999999999999943,0.005013888888888873,0.0032857142857142833,11.022252,4.154165292215281,-0.09514594923333546,-0.08647994837211263,0.000420782486261408
C070054,LOT-007,IC_A,125.59,3.294,11.132,11.309,11.745,11.993,50.0,Normal,True,0.007374999999999983,0.0060555555555555545,0.00344444444444446,0.005125000000000004,10.989696,3.957974929515009,0.08067357820255948,0.19083092072353022,0.25348922564371573
C080157,LOT-008,IC_A,123.24,3.344,21.023,21.194,21.344,21.917,50.0,High_Stable,True,0.007124999999999974,0.002083333333333363,0.007958333333333338,0.005321428571428583,11.11735,3.8795692423918693,2.597363101525015,2.636027187826391,2.783723997497644
