component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,absolute_limit_uA,drift_0_24_uA_per_h,zscore_0h,robust_zscore_0h,z_anomaly_0h,robust_z_anomaly_0h,iqr_anomaly_0h,zscore_24h,robust_zscore_24h,z_anomaly_24h,robust_z_anomaly_24h,iqr_anomaly_24h,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,predicted_drift_uA,predicted_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation,anomaly_evidence_count,anomaly_score,current_anomaly_level,early_drift_direction,future_drift_abnormal,future_failure_predicted,current_anomaly_contribution,future_drift_contribution,future_failure_contribution,risk_score,drift_severity,final_risk_level,final_decision,risk_explanation,risk_priority
C010340,LOT-001,IC_A,126.38,3.306,26.75,41.195,50.0,0.601875,3.771616994679869,17.090124127230414,True,True,True,5.18279606676929,27.44060126582273,True,True,True,71.94511225779087,68.2896151744452,75.60060934113653,45.19511225779087,0.2690185253439933,0.0078669642857142,0.261151561058279,True,True,True,-21.945112257790868,-25.600609341136533,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010280,LOT-001,IC_A,126.28,3.313,24.109,37.748,50.0,0.5682916666666665,3.1131320088572867,14.326191621411953,True,True,True,4.564131781355906,24.34266455696197,True,True,True,68.7223817001262,65.06688461678054,72.37787878347187,44.613381700126205,0.2655558434531321,0.0078669642857142,0.2576888791674179,True,True,True,-18.722381700126206,-22.37787878347187,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C060457,LOT-006,IC_A,127.32,3.308,26.366,39.809,50.0,0.5601249999999999,3.9425522597260327,17.1727063679245,True,True,True,5.703106365936657,28.28422591006424,True,True,True,70.8653261244034,67.20982904105773,74.52082320774906,44.4993261244034,0.2648769412166868,0.0078669642857142,0.2570099769309726,True,True,True,-20.8653261244034,-24.52082320774906,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C050139,LOT-005,IC_A,125.18,3.311,27.039,41.247,50.0,0.592,3.1101736949355314,14.370571379310336,True,True,True,4.795624972848666,24.81822750000001,True,True,True,71.50467863243014,67.84918154908448,75.16017571577581,44.46567863243014,0.2646766585263699,0.0078669642857142,0.2568096942406556,True,True,True,-21.504678632430146,-25.160175715775807,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C030104,LOT-003,IC_A,125.8,3.301,26.251,38.255,50.0,0.5001666666666668,3.7698427901789415,14.65657628294036,True,True,True,4.91719101578522,22.059763392857143,True,True,True,70.51540615719696,66.8599090738513,74.17090324054263,44.26440615719696,0.2634786080785533,0.0078669642857142,0.255611643792839,True,True,True,-20.515406157196963,-24.17090324054263,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C020041,LOT-002,IC_A,125.93,3.261,27.055,40.477,50.0,0.5592499999999999,3.859439110438057,14.105354654654665,True,True,True,5.466496809841019,23.81485924006908,True,True,True,71.30213351239044,67.64663642904478,74.9576305957361,44.24713351239044,0.2633757947166097,0.0078669642857142,0.2555088304308955,True,True,True,-21.30213351239044,-24.957630595736106,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C030363,LOT-003,IC_A,125.65,3.304,26.092,38.46,50.0,0.5153333333333334,3.7286054573687553,14.507830790568653,True,True,True,4.956283193016681,22.22437351190477,True,True,True,70.3339668466811,66.67846976333543,73.98946393002676,44.241966846681095,0.2633450407540541,0.0078669642857142,0.2554780764683398,True,True,True,-20.333966846681093,-23.98946393002676,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C070007,LOT-007,IC_A,125.24,3.302,24.626,36.499,50.0,0.4947083333333333,3.445272959743313,9.566352140077818,True,True,True,4.732103307409626,15.486602760736195,True,True,True,68.74357316107498,65.08807607772931,72.39907024442064,44.11757316107497,0.2626046021492558,0.0078669642857142,0.2547376378635415,True,True,True,-18.743573161074977,-22.39907024442064,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C070162,LOT-007,IC_A,125.36,3.291,26.019,36.542,50.0,0.4384583333333334,3.7972206160087074,10.480339007782096,True,True,True,4.740284955123414,15.51202212971078,True,True,True,70.00569594868324,66.35019886533757,73.6611930320289,43.98669594868324,0.2618255711231145,0.0078669642857142,0.2539586068374003,True,True,True,-20.00569594868324,-23.661193032028905,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010437,LOT-001,IC_A,126.52,3.312,26.812,39.791,50.0,0.5407916666666664,3.787075559284564,17.15501008533748,True,True,True,4.930807480543473,26.178778481012603,True,True,True,70.55824137485432,66.90274429150865,74.21373845819998,43.74624137485432,0.2603942938979424,0.0078669642857142,0.2525273296122281,True,True,True,-20.55824137485432,-24.213738458199984,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C050283,LOT-005,IC_A,125.13,3.314,26.615,37.645,50.0,0.4595833333333335,3.0158316921777235,13.97610517241378,True,True,True,4.165774529167167,21.78129125000001,True,True,True,69.97292462391775,66.31742754057208,73.62842170726341,43.35792462391776,0.2580828846661771,0.0078669642857142,0.2502159203804628,True,True,True,-19.97292462391775,-23.628421707263414,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C020115,LOT-002,IC_A,126.13,3.272,24.02,39.002,50.0,0.6242500000000001,3.128847093387736,11.646366666666673,True,True,True,5.1873569273162135,22.669335348301672,True,True,True,67.1865427588383,63.53104567549264,70.84203984218396,43.166542758838304,0.256943706897847,0.0078669642857142,0.2490767426121327,True,True,True,-17.1865427588383,-20.842039842183965,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010037,LOT-001,IC_A,126.62,3.309,26.845,37.753,50.0,0.4545,3.795303504961256,17.189546159813812,True,True,True,4.565029176605998,24.34715822784805,True,True,True,69.87978795625904,66.22429087291337,73.5352850396047,43.03478795625904,0.2561594521205895,0.0078669642857142,0.2482924878348752,True,True,True,-19.87978795625904,-23.5352850396047,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C020030,LOT-002,IC_A,125.9,3.264,25.386,39.049,50.0,0.5692916666666666,3.4576736816219165,12.75311381381382,True,True,True,5.196251554081409,22.705836787564767,True,True,True,68.31178090395015,64.65628382060449,71.96727798729582,42.92578090395016,0.2555106006187509,0.0078669642857142,0.2476436363330366,True,True,True,-18.31178090395015,-21.967277987295816,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C070303,LOT-007,IC_A,125.2,3.294,26.118,39.318,50.0,0.5499999999999999,3.822233407085717,10.545295719844352,True,True,True,5.268476909855418,17.153049298860648,True,True,True,69.02065775378783,65.36516067044217,72.6761548371335,42.90265775378784,0.2553729628201657,0.0078669642857142,0.2475059985344514,True,True,True,-19.02065775378783,-22.676154837133492,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C050454,LOT-005,IC_A,125.18,3.31,26.935,38.554,50.0,0.4841250000000001,3.08703320369305,14.273815517241363,True,True,True,4.324723461234485,22.547691875000005,True,True,True,69.25973019309161,65.60423310974595,72.91522727643728,42.32473019309161,0.2519329178160215,0.0078669642857142,0.2440659535303072,True,True,True,-19.259730193091613,-22.91522727643728,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C030156,LOT-003,IC_A,125.49,3.304,25.582,36.495,50.0,0.4547083333333332,3.5963347672228787,14.030722607489595,True,True,True,4.581570372237065,20.646525297619046,True,True,True,67.77183934983763,64.11634226649197,71.4273364331833,42.189839349837634,0.2511299961299859,0.0078669642857142,0.2432630318442716,True,True,True,-17.771839349837634,-21.4273364331833,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C100060,LOT-010,IC_A,124.58,3.286,26.493,39.007,50.0,0.5214166666666666,3.120920448621363,14.09454484933427,True,True,True,4.444139386767885,21.88248332340681,True,True,True,68.6313700796356,64.97587299628994,72.28686716298127,42.13837007963561,0.2508236314264024,0.0078669642857142,0.2429566671406881,True,True,True,-18.6313700796356,-22.286867162981267,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C010218,LOT-001,IC_A,126.27,3.314,24.951,36.473,50.0,0.4800833333333332,3.3230692894565346,15.20738479441428,True,True,True,4.335295992582462,23.196778481012608,True,True,True,66.76647225946965,63.11097517612399,70.42196934281532,41.81547225946965,0.2489016205920812,0.0078669642857142,0.2410346563063669,True,True,True,-16.76647225946965,-20.42196934281532,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C090342,LOT-009,IC_A,124.86,3.276,23.231,32.719,50.0,0.3953333333333333,3.1558767749739367,9.867047902494326,True,True,True,3.867597891773707,14.694464285714291,True,True,True,64.68723729834056,61.031740214994905,68.34273438168623,41.45623729834056,0.2467633172520271,0.0078669642857142,0.2388963529663128,True,True,True,-14.687237298340564,-18.342734381686228,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
C090081,LOT-009,IC_A,124.78,3.286,22.979,33.037,50.0,0.4190833333333333,3.0887023294704634,9.674333616780038,True,True,True,3.927443444585738,14.9057854679803,True,True,True,64.31318796996749,60.65769088662183,67.96868505331315,41.33418796996749,0.2460368331545683,0.0078669642857142,0.238169868868854,True,True,True,-14.313187969967489,-17.968685053313152,HIGH,PREDICTED_FAILURE,Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary,6,1.0,HIGH,INCREASING,True,True,30.0,30,40,100.0,CRITICAL,CRITICAL,IMMEDIATE_REVIEW,Current anomaly evidence: HIGH; Predicted future drift exceeds dynamic safety boundary; Point prediction exceeds absolute specification limit; Prediction uncertainty interval reaches or exceeds absolute limit; Iddq increased between 0h and 24h,1
