component_id,iddq_168h_uA,ground_truth,absolute_limit_uA,predicted_168h_uA,final_risk_level,final_decision,prediction_error_uA,absolute_prediction_error_uA,actual_future_failure,predicted_future_failure,actual_abnormal,predicted_abnormal,component_type
C030086,59.961,Absolute_Failure,50.0,60.74697531673877,CRITICAL,IMMEDIATE_REVIEW,0.7859753167387709,0.7859753167387709,True,True,True,True,IC_A
C050466,40.851,Latent_Defect,50.0,30.710038483329537,MEDIUM,ENHANCED_MONITORING,-10.140961516670462,10.140961516670462,False,False,True,True,IC_A
C100044,13.292,Normal,50.0,13.08586207720851,LOW,NORMAL,-0.20613792279148946,0.20613792279148946,False,False,False,False,IC_A
C070372,12.668,Normal,50.0,12.452687424298288,LOW,NORMAL,-0.21531257570171114,0.21531257570171114,False,False,False,False,IC_A
C070490,22.83,High_Stable,50.0,22.93519016867031,WATCH,MONITOR,0.10519016867031183,0.10519016867031183,False,False,True,True,IC_A
C060396,9.929,Normal,50.0,9.696752881865924,LOW,NORMAL,-0.23224711813407595,0.23224711813407595,False,False,False,False,IC_A
C070074,10.647,Normal,50.0,11.155621227123431,LOW,NORMAL,0.5086212271234309,0.5086212271234309,False,False,False,False,IC_A
C090234,9.707,Normal,50.0,9.626290207504368,LOW,NORMAL,-0.08070979249563237,0.08070979249563237,False,False,False,False,IC_A
C010320,9.295,Normal,50.0,9.545901628043474,LOW,NORMAL,0.25090162804347393,0.25090162804347393,False,False,False,False,IC_A
C060274,25.714,High_Stable,50.0,25.621624028339703,WATCH,MONITOR,-0.09237597166029587,0.09237597166029587,False,False,True,True,IC_A
C030487,11.36,Normal,50.0,11.325695767755269,LOW,NORMAL,-0.03430423224473067,0.03430423224473067,False,False,False,False,IC_A
C040134,10.971,Normal,50.0,10.492553713726824,LOW,NORMAL,-0.47844628627317576,0.47844628627317576,False,False,False,False,IC_A
C060059,9.586,Normal,50.0,9.826771765133948,LOW,NORMAL,0.24077176513394782,0.24077176513394782,False,False,False,False,IC_A
C040263,8.422,Normal,50.0,8.91769041427862,LOW,NORMAL,0.49569041427862004,0.49569041427862004,False,False,False,False,IC_A
C080291,9.628,Normal,50.0,10.067047276895275,LOW,NORMAL,0.4390472768952751,0.4390472768952751,False,False,False,False,IC_A
C030425,10.779,Normal,50.0,11.446526531812555,LOW,NORMAL,0.6675265318125554,0.6675265318125554,False,False,False,False,IC_A
C060450,11.01,Normal,50.0,11.198110196796824,LOW,NORMAL,0.18811019679682417,0.18811019679682417,False,False,False,False,IC_A
C010008,11.978,Normal,50.0,11.775880499845194,LOW,NORMAL,-0.20211950015480618,0.20211950015480618,False,False,False,False,IC_A
C050227,41.455,Latent_Defect,50.0,34.01285238368153,MEDIUM,ENHANCED_MONITORING,-7.442147616318465,7.442147616318465,False,False,True,True,IC_A
C040193,23.617,High_Stable,50.0,23.826933963023084,WATCH,MONITOR,0.20993396302308298,0.20993396302308298,False,False,True,True,IC_A
C100103,28.91,High_Stable,50.0,40.20917679653676,HIGH,PRIORITY_SCREENING,11.29917679653676,11.29917679653676,False,False,True,True,IC_A
C020152,7.431,Normal,50.0,7.7368612126623315,LOW,NORMAL,0.30586121266233146,0.30586121266233146,False,False,False,False,IC_A
C100361,12.093,Normal,50.0,12.871403439804702,LOW,NORMAL,0.778403439804702,0.778403439804702,False,False,False,False,IC_A
C070026,12.619,Normal,50.0,12.85743266080097,LOW,NORMAL,0.2384326608009708,0.2384326608009708,False,False,False,False,IC_A
C100423,12.395,Normal,50.0,12.785015137778618,MEDIUM,ENHANCED_MONITORING,0.39001513777861874,0.39001513777861874,False,False,False,True,IC_A
C020154,11.529,Normal,50.0,11.483940264514407,LOW,NORMAL,-0.04505973548559261,0.04505973548559261,False,False,False,False,IC_A
C030298,9.203,Normal,50.0,8.878260438544068,LOW,NORMAL,-0.32473956145593164,0.32473956145593164,False,False,False,False,IC_A
C060446,10.149,Normal,50.0,10.528960653718723,LOW,NORMAL,0.3799606537187241,0.3799606537187241,False,False,False,False,IC_A
C040091,11.09,Normal,50.0,11.027096421807464,LOW,NORMAL,-0.062903578192536,0.062903578192536,False,False,False,False,IC_A
C050020,13.222,Normal,50.0,12.9385250819496,LOW,NORMAL,-0.28347491805040015,0.28347491805040015,False,False,False,False,IC_A
C070473,11.406,Normal,50.0,11.448812882673904,LOW,NORMAL,0.042812882673903374,0.042812882673903374,False,False,False,False,IC_A
C100389,26.113,High_Stable,50.0,25.84824911576616,WATCH,MONITOR,-0.2647508842338411,0.2647508842338411,False,False,True,True,IC_A
C020183,8.391,Normal,50.0,9.063833220677626,LOW,NORMAL,0.6728332206776262,0.6728332206776262,False,False,False,False,IC_A
C030326,11.791,Normal,50.0,12.043308275387176,LOW,NORMAL,0.2523082753871755,0.2523082753871755,False,False,False,False,IC_A
C060411,8.177,Normal,50.0,8.63611760809841,LOW,NORMAL,0.45911760809840985,0.45911760809840985,False,False,False,False,IC_A
C070350,9.283,Normal,50.0,9.580331007147064,LOW,NORMAL,0.29733100714706495,0.29733100714706495,False,False,False,False,IC_A
C070186,10.85,Normal,50.0,10.794480495608225,LOW,NORMAL,-0.05551950439177489,0.05551950439177489,False,False,False,False,IC_A
C080114,11.141,Normal,50.0,11.163503521157784,LOW,NORMAL,0.02250352115778398,0.02250352115778398,False,False,False,False,IC_A
C050213,25.768,High_Stable,50.0,25.838761143543937,WATCH,MONITOR,0.07076114354393681,0.07076114354393681,False,False,True,True,IC_A
C030492,9.231,Normal,50.0,9.499243980804655,LOW,NORMAL,0.2682439808046553,0.2682439808046553,False,False,False,False,IC_A
C050288,12.425,Normal,50.0,12.653494605377244,LOW,NORMAL,0.22849460537724298,0.22849460537724298,False,False,False,False,IC_A
C090037,23.286,High_Stable,50.0,23.20277791532856,WATCH,MONITOR,-0.08322208467144065,0.08322208467144065,False,False,True,True,IC_A
C080153,10.626,Normal,50.0,10.439813855737311,LOW,NORMAL,-0.1861861442626882,0.1861861442626882,False,False,False,False,IC_A
C010479,10.891,Normal,50.0,10.43739965739019,LOW,NORMAL,-0.4536003426098105,0.4536003426098105,False,False,False,False,IC_A
C020462,10.415,Normal,50.0,9.757654567757026,LOW,NORMAL,-0.6573454322429733,0.6573454322429733,False,False,False,False,IC_A
C030219,10.412,Normal,50.0,11.51292513712366,MEDIUM,ENHANCED_MONITORING,1.1009251371236584,1.1009251371236584,False,False,False,True,IC_A
C100077,65.539,Absolute_Failure,50.0,64.24348355735931,CRITICAL,IMMEDIATE_REVIEW,-1.2955164426406895,1.2955164426406895,True,True,True,True,IC_A
C030380,53.691,Absolute_Failure,50.0,62.01864046842049,CRITICAL,IMMEDIATE_REVIEW,8.32764046842049,8.32764046842049,True,True,True,True,IC_A
C060471,30.198,Sudden_Anomaly,50.0,20.33079876407768,MEDIUM,ENHANCED_MONITORING,-9.86720123592232,9.86720123592232,False,False,True,True,IC_A
C030312,12.247,Normal,50.0,11.67487728838304,LOW,NORMAL,-0.5721227116169594,0.5721227116169594,False,False,False,False,IC_A
C080138,9.838,Normal,50.0,10.07920673976605,LOW,NORMAL,0.24120673976605111,0.24120673976605111,False,False,False,False,IC_A
C010082,10.981,Normal,50.0,11.216855244203582,LOW,NORMAL,0.23585524420358261,0.23585524420358261,False,False,False,False,IC_A
C030493,10.149,Normal,50.0,10.433866280102938,LOW,NORMAL,0.28486628010293913,0.28486628010293913,False,False,False,False,IC_A
C080134,9.585,Normal,50.0,12.481397030246912,MEDIUM,ENHANCED_MONITORING,2.896397030246911,2.896397030246911,False,False,False,True,IC_A
C060201,9.113,Normal,50.0,9.5465303692082,LOW,NORMAL,0.4335303692082011,0.4335303692082011,False,False,False,False,IC_A
C020125,11.864,Normal,50.0,13.434365406400374,MEDIUM,ENHANCED_MONITORING,1.5703654064003736,1.5703654064003736,False,False,False,True,IC_A
C020106,11.021,Normal,50.0,11.206257866079278,LOW,NORMAL,0.18525786607927763,0.18525786607927763,False,False,False,False,IC_A
C090174,10.686,Normal,50.0,11.060583419919324,LOW,NORMAL,0.37458341991932365,0.37458341991932365,False,False,False,False,IC_A
C040414,10.878,Normal,50.0,11.046381224803056,LOW,NORMAL,0.16838122480305628,0.16838122480305628,False,False,False,False,IC_A
C030264,11.769,Normal,50.0,11.276342498388448,LOW,NORMAL,-0.49265750161155175,0.49265750161155175,False,False,False,False,IC_A
C050416,27.101,High_Stable,50.0,26.465950101010097,WATCH,MONITOR,-0.6350498989899016,0.6350498989899016,False,False,True,True,IC_A
C070104,10.798,Normal,50.0,11.43147576472181,LOW,NORMAL,0.6334757647218101,0.6334757647218101,False,False,False,False,IC_A
C100003,13.732,Normal,50.0,14.987996948773452,MEDIUM,ENHANCED_MONITORING,1.2559969487734524,1.2559969487734524,False,False,False,True,IC_A
C060481,10.999,Normal,50.0,10.93061758117451,LOW,NORMAL,-0.06838241882549134,0.06838241882549134,False,False,False,False,IC_A
C100062,10.557,Normal,50.0,10.493194140891822,LOW,NORMAL,-0.06380585910817871,0.06380585910817871,False,False,False,False,IC_A
C060029,12.193,Normal,50.0,12.250012696209897,LOW,NORMAL,0.05701269620989713,0.05701269620989713,False,False,False,False,IC_A
C030356,10.97,Normal,50.0,11.3025898227045,LOW,NORMAL,0.33258982270449877,0.33258982270449877,False,False,False,False,IC_A
C010279,10.881,Normal,50.0,15.025289373653996,MEDIUM,ENHANCED_MONITORING,4.144289373653995,4.144289373653995,False,False,False,True,IC_A
C100449,12.339,Normal,50.0,11.575613872942457,LOW,NORMAL,-0.7633861270575437,0.7633861270575437,False,False,False,False,IC_A
C010425,42.929,Latent_Defect,50.0,38.102651337941055,MEDIUM,ENHANCED_MONITORING,-4.8263486620589475,4.8263486620589475,False,False,True,True,IC_A
C060113,44.738,Latent_Defect,50.0,40.526096659733305,MEDIUM,ENHANCED_MONITORING,-4.211903340266694,4.211903340266694,False,False,True,True,IC_A
C090472,9.803,Normal,50.0,9.650451731695773,LOW,NORMAL,-0.15254826830422807,0.15254826830422807,False,False,False,False,IC_A
C090324,11.474,Normal,50.0,13.389781534270623,MEDIUM,ENHANCED_MONITORING,1.9157815342706233,1.9157815342706233,False,False,False,True,IC_A
C050252,12.213,Normal,50.0,12.914307195490023,MEDIUM,ENHANCED_MONITORING,0.7013071954900241,0.7013071954900241,False,False,False,True,IC_A
C080309,10.948,Normal,50.0,13.089544448328168,MEDIUM,ENHANCED_MONITORING,2.141544448328167,2.141544448328167,False,False,False,True,IC_A
C060099,22.839,High_Stable,50.0,22.80691287081503,WATCH,MONITOR,-0.03208712918496914,0.03208712918496914,False,False,True,True,IC_A
C090341,12.195,Normal,50.0,12.925172515630411,LOW,NORMAL,0.7301725156304109,0.7301725156304109,False,False,False,False,IC_A
C030500,12.614,Normal,50.0,12.937128103835809,LOW,NORMAL,0.32312810383580803,0.32312810383580803,False,False,False,False,IC_A
C090089,9.927,Normal,50.0,10.133170035945064,LOW,NORMAL,0.206170035945064,0.206170035945064,False,False,False,False,IC_A
C020081,11.024,Normal,50.0,11.230996397645452,LOW,NORMAL,0.20699639764545275,0.20699639764545275,False,False,False,False,IC_A
C070054,11.993,Normal,50.0,12.219924177354786,LOW,NORMAL,0.22692417735478543,0.22692417735478543,False,False,False,False,IC_A
C080157,21.917,High_Stable,50.0,21.977657807910845,WATCH,MONITOR,0.060657807910843076,0.060657807910843076,False,False,True,True,IC_A
C060008,12.396,Normal,50.0,12.483043386680311,LOW,NORMAL,0.08704338668031042,0.08704338668031042,False,False,False,False,IC_A
C020001,10.022,Normal,50.0,10.15292693720115,LOW,NORMAL,0.13092693720114923,0.13092693720114923,False,False,False,False,IC_A
C090130,11.598,Normal,50.0,11.822551132364188,LOW,NORMAL,0.2245511323641871,0.2245511323641871,False,False,False,False,IC_A
C040019,9.716,Normal,50.0,9.89593902343866,LOW,NORMAL,0.17993902343865997,0.17993902343865997,False,False,False,False,IC_A
C070215,8.633,Normal,50.0,8.932713809580681,LOW,NORMAL,0.29971380958068217,0.29971380958068217,False,False,False,False,IC_A
C030130,10.553,Normal,50.0,10.20834530069556,LOW,NORMAL,-0.34465469930444037,0.34465469930444037,False,False,False,False,IC_A
C050367,11.325,Normal,50.0,13.202826547833949,MEDIUM,ENHANCED_MONITORING,1.8778265478339495,1.8778265478339495,False,False,False,True,IC_A
C030452,10.928,Normal,50.0,11.49673153106839,MEDIUM,ENHANCED_MONITORING,0.5687315310683889,0.5687315310683889,False,False,False,True,IC_A
C040119,58.379,Absolute_Failure,50.0,58.18868969320953,CRITICAL,IMMEDIATE_REVIEW,-0.19031030679046523,0.19031030679046523,True,True,True,True,IC_A
C040092,9.518,Normal,50.0,10.465381188929427,LOW,NORMAL,0.9473811889294268,0.9473811889294268,False,False,False,False,IC_A
C050010,10.948,Normal,50.0,11.478838511201412,LOW,NORMAL,0.5308385112014111,0.5308385112014111,False,False,False,False,IC_A
C080202,11.216,Normal,50.0,11.248877502160845,LOW,NORMAL,0.032877502160845395,0.032877502160845395,False,False,False,False,IC_A
C050363,27.288,High_Stable,50.0,27.39301673351646,WATCH,MONITOR,0.1050167335164609,0.1050167335164609,False,False,True,True,IC_A
C070081,11.544,Normal,50.0,11.528706038285488,LOW,NORMAL,-0.01529396171451225,0.01529396171451225,False,False,False,False,IC_A
C020326,10.443,Normal,50.0,15.821870070620935,MEDIUM,ENHANCED_MONITORING,5.378870070620936,5.378870070620936,False,False,False,True,IC_A
C010087,10.585,Normal,50.0,11.51856814759675,LOW,NORMAL,0.9335681475967483,0.9335681475967483,False,False,False,False,IC_A
C080103,9.626,Normal,50.0,9.67688311341798,LOW,NORMAL,0.050883113417979686,0.050883113417979686,False,False,False,False,IC_A
C030339,11.737,Normal,50.0,11.66460644587941,LOW,NORMAL,-0.07239355412058934,0.07239355412058934,False,False,False,False,IC_A
C080213,12.002,Normal,50.0,12.44245373409435,LOW,NORMAL,0.4404537340943495,0.4404537340943495,False,False,False,False,IC_A
C080047,42.946,Sudden_Anomaly,50.0,11.507843681302877,LOW,NORMAL,-31.43815631869712,31.43815631869712,False,False,True,False,IC_A
C010203,10.596,Normal,50.0,10.490936869966731,LOW,NORMAL,-0.10506313003326895,0.10506313003326895,False,False,False,False,IC_A
C100428,11.487,Normal,50.0,11.45481201809266,LOW,NORMAL,-0.03218798190733985,0.03218798190733985,False,False,False,False,IC_A
C070392,10.661,Normal,50.0,11.06294260461096,LOW,NORMAL,0.40194260461096043,0.40194260461096043,False,False,False,False,IC_A
C060124,11.386,Normal,50.0,11.779561372299538,LOW,NORMAL,0.3935613722995388,0.3935613722995388,False,False,False,False,IC_A
C070131,10.699,Normal,50.0,12.14808857047824,MEDIUM,ENHANCED_MONITORING,1.4490885704782404,1.4490885704782404,False,False,False,True,IC_A
C090360,11.474,Normal,50.0,11.47661778434415,LOW,NORMAL,0.0026177843441494986,0.0026177843441494986,False,False,False,False,IC_A
C010170,11.468,Normal,50.0,11.302902782275805,LOW,NORMAL,-0.1650972177241954,0.1650972177241954,False,False,False,False,IC_A
C010271,41.173,Latent_Defect,50.0,40.10381085579005,MEDIUM,ENHANCED_MONITORING,-1.0691891442099504,1.0691891442099504,False,False,True,True,IC_A
C100018,11.118,Normal,50.0,11.751248388097974,LOW,NORMAL,0.6332483880979733,0.6332483880979733,False,False,False,False,IC_A
C040262,8.828,Normal,50.0,8.97260874089356,LOW,NORMAL,0.14460874089356146,0.14460874089356146,False,False,False,False,IC_A
C010208,10.956,Normal,50.0,11.229206348736842,LOW,NORMAL,0.27320634873684213,0.27320634873684213,False,False,False,False,IC_A
C070214,10.265,Normal,50.0,10.570978428467033,LOW,NORMAL,0.30597842846703216,0.30597842846703216,False,False,False,False,IC_A
C100436,12.594,Normal,50.0,15.010281639003626,MEDIUM,ENHANCED_MONITORING,2.4162816390036266,2.4162816390036266,False,False,False,True,IC_A
C080450,12.945,Normal,50.0,13.239536231163278,LOW,NORMAL,0.29453623116327776,0.29453623116327776,False,False,False,False,IC_A
C010191,9.598,Normal,50.0,10.263498576742904,LOW,NORMAL,0.6654985767429036,0.6654985767429036,False,False,False,False,IC_A
C050079,12.138,Normal,50.0,13.172436304597396,MEDIUM,ENHANCED_MONITORING,1.0344363045973957,1.0344363045973957,False,False,False,True,IC_A
C020292,10.317,Normal,50.0,10.370351807742152,LOW,NORMAL,0.053351807742151536,0.053351807742151536,False,False,False,False,IC_A
C010500,9.608,Normal,50.0,9.618378099819472,LOW,NORMAL,0.010378099819471132,0.010378099819471132,False,False,False,False,IC_A
C090028,11.1,Normal,50.0,10.60414496882295,LOW,NORMAL,-0.4958550311770491,0.4958550311770491,False,False,False,False,IC_A
C090388,9.841,Normal,50.0,9.767757011546085,LOW,NORMAL,-0.07324298845391475,0.07324298845391475,False,False,False,False,IC_A
C010091,10.296,Normal,50.0,13.643033562948272,MEDIUM,ENHANCED_MONITORING,3.3470335629482726,3.3470335629482726,False,False,False,True,IC_A
C030386,11.418,Normal,50.0,11.633404834808402,LOW,NORMAL,0.21540483480840322,0.21540483480840322,False,False,False,False,IC_A
C020299,9.478,Normal,50.0,9.32886570982072,LOW,NORMAL,-0.14913429017927982,0.14913429017927982,False,False,False,False,IC_A
C030273,11.679,Normal,50.0,12.418095126664907,MEDIUM,ENHANCED_MONITORING,0.7390951266649068,0.7390951266649068,False,False,False,True,IC_A
C010490,11.704,Normal,50.0,11.788234997654662,LOW,NORMAL,0.08423499765466147,0.08423499765466147,False,False,False,False,IC_A
C020315,9.863,Normal,50.0,12.316861406042122,MEDIUM,ENHANCED_MONITORING,2.4538614060421224,2.4538614060421224,False,False,False,True,IC_A
C060383,36.732,Latent_Defect,50.0,38.15061851033537,MEDIUM,ENHANCED_MONITORING,1.4186185103353708,1.4186185103353708,False,False,True,True,IC_A
C100279,38.724,Sudden_Anomaly,50.0,18.851486672783043,MEDIUM,ENHANCED_MONITORING,-19.872513327216954,19.872513327216954,False,False,True,True,IC_A
C040279,66.892,Absolute_Failure,50.0,65.02397005086581,CRITICAL,IMMEDIATE_REVIEW,-1.8680299491341827,1.8680299491341827,True,True,True,True,IC_A
C010209,22.081,High_Stable,50.0,21.81571001210247,WATCH,MONITOR,-0.26528998789752833,0.26528998789752833,False,False,True,True,IC_A
C040492,9.404,Normal,50.0,9.53007893858774,LOW,NORMAL,0.12607893858774055,0.12607893858774055,False,False,False,False,IC_A
C040317,8.417,Normal,50.0,8.338189107142849,LOW,NORMAL,-0.0788108928571507,0.0788108928571507,False,False,False,False,IC_A
C050355,67.372,Absolute_Failure,50.0,59.77147226100287,CRITICAL,IMMEDIATE_REVIEW,-7.60052773899713,7.60052773899713,True,True,True,True,IC_A
C030329,10.749,Normal,50.0,11.210545694195886,LOW,NORMAL,0.46154569419588576,0.46154569419588576,False,False,False,False,IC_A
C090490,11.743,Normal,50.0,11.67149735193816,LOW,NORMAL,-0.07150264806183948,0.07150264806183948,False,False,False,False,IC_A
C100448,11.326,Normal,50.0,11.69637798581823,LOW,NORMAL,0.3703779858182301,0.3703779858182301,False,False,False,False,IC_A
C040341,31.947,Latent_Defect,50.0,37.8179968665335,MEDIUM,ENHANCED_MONITORING,5.870996866533499,5.870996866533499,False,False,True,True,IC_A
C020032,34.099,Latent_Defect,50.0,36.54672762201076,MEDIUM,ENHANCED_MONITORING,2.447727622010767,2.447727622010767,False,False,True,True,IC_A
C060278,21.717,High_Stable,50.0,21.97167214773768,WATCH,MONITOR,0.25467214773768276,0.25467214773768276,False,False,True,True,IC_A
C080135,11.742,Normal,50.0,12.092913077553805,MEDIUM,ENHANCED_MONITORING,0.35091307755380363,0.35091307755380363,False,False,False,True,IC_A
C010429,45.456,Latent_Defect,50.0,37.37304331151183,MEDIUM,ENHANCED_MONITORING,-8.082956688488174,8.082956688488174,False,False,True,True,IC_A
C060444,10.219,Normal,50.0,10.364932477039334,LOW,NORMAL,0.14593247703933443,0.14593247703933443,False,False,False,False,IC_A
C040118,11.401,Normal,50.0,10.510411326044355,LOW,NORMAL,-0.8905886739556443,0.8905886739556443,False,False,False,False,IC_A
C060072,11.76,Normal,50.0,11.659832799968813,LOW,NORMAL,-0.10016720003118706,0.10016720003118706,False,False,False,False,IC_A
C010005,11.382,Normal,50.0,11.441486683513478,LOW,NORMAL,0.05948668351347841,0.05948668351347841,False,False,False,False,IC_A
C100110,12.444,Normal,50.0,12.363060158989098,LOW,NORMAL,-0.08093984101090257,0.08093984101090257,False,False,False,False,IC_A
C070101,9.906,Normal,50.0,10.131481524106938,LOW,NORMAL,0.22548152410693767,0.22548152410693767,False,False,False,False,IC_A
C010177,9.213,Normal,50.0,12.867324762180669,MEDIUM,ENHANCED_MONITORING,3.6543247621806696,3.6543247621806696,False,False,False,True,IC_A
C090087,69.378,Absolute_Failure,50.0,64.13911249161261,CRITICAL,IMMEDIATE_REVIEW,-5.238887508387393,5.238887508387393,True,True,True,True,IC_A
C100199,25.06,High_Stable,50.0,25.16529564192057,WATCH,MONITOR,0.10529564192056995,0.10529564192056995,False,False,True,True,IC_A
C060090,10.261,Normal,50.0,10.396087362678664,LOW,NORMAL,0.1350873626786644,0.1350873626786644,False,False,False,False,IC_A
C060175,12.152,Normal,50.0,11.668792202808588,LOW,NORMAL,-0.4832077971914117,0.4832077971914117,False,False,False,False,IC_A
C080119,10.344,Normal,50.0,10.429236042170883,LOW,NORMAL,0.08523604217088376,0.08523604217088376,False,False,False,False,IC_A
C010142,11.487,Normal,50.0,11.803988799398295,LOW,NORMAL,0.3169887993982954,0.3169887993982954,False,False,False,False,IC_A
C080499,9.63,Normal,50.0,10.071493881626676,LOW,NORMAL,0.44149388162667513,0.44149388162667513,False,False,False,False,IC_A
C080278,10.613,Normal,50.0,10.862979522043538,LOW,NORMAL,0.2499795220435388,0.2499795220435388,False,False,False,False,IC_A
C100326,12.045,Normal,50.0,11.779863965514394,LOW,NORMAL,-0.2651360344856055,0.2651360344856055,False,False,False,False,IC_A
C100249,42.248,Sudden_Anomaly,50.0,19.90663289293564,MEDIUM,ENHANCED_MONITORING,-22.341367107064357,22.341367107064357,False,False,True,True,IC_A
C100293,13.35,Normal,50.0,14.417146158814507,MEDIUM,ENHANCED_MONITORING,1.0671461588145075,1.0671461588145075,False,False,False,True,IC_A
C060178,9.684,Normal,50.0,10.066743084036474,LOW,NORMAL,0.38274308403647517,0.38274308403647517,False,False,False,False,IC_A
C060181,9.746,Normal,50.0,10.368119216765956,LOW,NORMAL,0.6221192167659559,0.6221192167659559,False,False,False,False,IC_A
C070073,11.309,Normal,50.0,11.777369617177222,LOW,NORMAL,0.46836961717722225,0.46836961717722225,False,False,False,False,IC_A
C030293,10.716,Normal,50.0,10.848401734935116,LOW,NORMAL,0.13240173493511698,0.13240173493511698,False,False,False,False,IC_A
C030029,12.585,Normal,50.0,13.98618601907626,MEDIUM,ENHANCED_MONITORING,1.4011860190762597,1.4011860190762597,False,False,False,True,IC_A
C040487,11.053,Normal,50.0,11.268882795725805,LOW,NORMAL,0.21588279572580404,0.21588279572580404,False,False,False,False,IC_A
C020206,30.567,Sudden_Anomaly,50.0,15.101316691566376,MEDIUM,ENHANCED_MONITORING,-15.465683308433624,15.465683308433624,False,False,True,True,IC_A
C040378,9.848,Normal,50.0,9.98970915688932,LOW,NORMAL,0.14170915688931984,0.14170915688931984,False,False,False,False,IC_A
C030465,13.039,Normal,50.0,13.466101734448236,LOW,NORMAL,0.42710173444823596,0.42710173444823596,False,False,False,False,IC_A
C030363,62.884,Absolute_Failure,50.0,70.3339668466811,CRITICAL,IMMEDIATE_REVIEW,7.449966846681093,7.449966846681093,True,True,True,True,IC_A
C040491,9.781,Normal,50.0,10.393747634477757,LOW,NORMAL,0.6127476344777563,0.6127476344777563,False,False,False,False,IC_A
C100259,13.162,Normal,50.0,13.07669359596692,LOW,NORMAL,-0.08530640403307999,0.08530640403307999,False,False,False,False,IC_A
C080437,10.15,Normal,50.0,10.09712460709856,LOW,NORMAL,-0.05287539290143961,0.05287539290143961,False,False,False,False,IC_A
C090056,64.623,Absolute_Failure,50.0,64.38075318768037,CRITICAL,IMMEDIATE_REVIEW,-0.2422468123196353,0.2422468123196353,True,True,True,True,IC_A
C090106,10.805,Normal,50.0,13.043632938278362,MEDIUM,ENHANCED_MONITORING,2.2386329382783625,2.2386329382783625,False,False,False,True,IC_A
C100163,12.073,Normal,50.0,11.783593322449107,LOW,NORMAL,-0.2894066775508932,0.2894066775508932,False,False,False,False,IC_A
