component_id,component_type,lot_id,risk_score,qa_classification,priority_rank,screening_recommendation,strongest_risk_factor,explanation_summary
C6785,TypeC,L4,77.78566272865866,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6785 was analyzed for predicted. The latest observed value is 38.2409 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 38.2409 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C548,TypeB,L1,77.7596364821841,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C548 was analyzed for predicted. The latest observed value is 43.1488 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 43.1488 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4754,TypeC,L3,77.70942649758109,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C4754 was analyzed for predicted. The latest observed value is 48.6902 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 48.6902 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9416,TypeB,L5,77.66769501594104,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9416 was analyzed for predicted. The latest observed value is 31.5061 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.5061 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6162,TypeA,L4,77.66607686973818,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6162 was analyzed for predicted. The latest observed value is 36.9841 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.9841 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C4282,TypeC,L3,77.64502523377928,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C4282 was analyzed for predicted. The latest observed value is 34.2195 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.2195 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9054,TypeB,L5,77.58172116566394,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9054 was analyzed for predicted. The latest observed value is 32.8627 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.8627 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9107,TypeB,L5,77.5764220258802,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9107 was analyzed for predicted. The latest observed value is 39.6590 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 39.6590 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7105,TypeC,L4,77.55969716148586,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7105 was analyzed for predicted. The latest observed value is 30.9048 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 30.9048 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2153,TypeA,L2,77.55252784469117,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2153 was analyzed for predicted. The latest observed value is 44.0038 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 44.0038 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9955,TypeA,L5,77.46044623605292,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9955 was analyzed for predicted. The latest observed value is 47.6007 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 47.6007 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1944,TypeC,L1,77.45752602611988,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1944 was analyzed for predicted. The latest observed value is 42.3080 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 42.3080 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C781,TypeC,L1,77.43346309578484,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C781 was analyzed for predicted. The latest observed value is 29.4877 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 29.4877 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1687,TypeB,L1,77.4260604517232,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1687 was analyzed for predicted. The latest observed value is 41.5273 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 41.5273 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1784,TypeA,L1,77.39707212078535,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1784 was analyzed for predicted. The latest observed value is 33.4050 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 33.4050 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6020,TypeB,L4,77.38607703459702,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6020 was analyzed for predicted. The latest observed value is 34.9738 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.9738 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C5169,TypeC,L3,77.38269134787424,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C5169 was analyzed for predicted. The latest observed value is 39.2111 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 39.2111 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6309,TypeC,L4,77.37237329384537,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6309 was analyzed for predicted. The latest observed value is 37.5921 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.5921 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1828,TypeB,L1,77.33298168373133,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1828 was analyzed for predicted. The latest observed value is 29.9872 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 29.9872 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C7297,TypeA,L4,77.33154175530184,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C7297 was analyzed for predicted. The latest observed value is 36.7269 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.7269 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C9528,TypeA,L5,77.31511459501897,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C9528 was analyzed for predicted. The latest observed value is 34.2904 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 34.2904 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1800,TypeC,L1,77.24030411368629,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1800 was analyzed for predicted. The latest observed value is 38.9694 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 38.9694 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C5536,TypeA,L3,77.22717499426356,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C5536 was analyzed for predicted. The latest observed value is 32.4033 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.4033 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1287,TypeC,L1,77.21603111248544,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1287 was analyzed for predicted. The latest observed value is 36.3230 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.3230 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C424,TypeC,L1,77.19972211999563,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C424 was analyzed for predicted. The latest observed value is 44.0217 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 44.0217 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C3333,TypeA,L2,77.19438643172614,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C3333 was analyzed for predicted. The latest observed value is 31.2781 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.2781 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C1894,TypeA,L1,77.19315832866627,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C1894 was analyzed for predicted. The latest observed value is 38.3787 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 38.3787 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2632,TypeB,L2,77.16576096157054,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2632 was analyzed for predicted. The latest observed value is 37.8421 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.8421 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2968,TypeB,L2,77.15881645052619,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2968 was analyzed for predicted. The latest observed value is 36.7415 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 36.7415 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6278,TypeC,L4,77.12512711659761,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6278 was analyzed for predicted. The latest observed value is 30.2592 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 30.2592 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6845,TypeB,L4,77.1117481634923,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6845 was analyzed for predicted. The latest observed value is 32.5214 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 32.5214 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C6573,TypeA,L4,77.0354306326695,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C6573 was analyzed for predicted. The latest observed value is 37.5542 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 37.5542 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2524,TypeB,L2,77.02483910140013,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2524 was analyzed for predicted. The latest observed value is 31.4973 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 31.4973 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C5788,TypeB,L3,77.02305593576158,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C5788 was analyzed for predicted. The latest observed value is 35.0481 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 35.0481 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C824,TypeC,L1,76.96537873118777,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C824 was analyzed for predicted. The latest observed value is 35.4721 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 35.4721 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
C2290,TypeA,L2,76.93895361959534,Review,2,Follow the configured QA policy for this classification.,future_factor,Component C2290 was analyzed for predicted. The latest observed value is 29.6637 at 168h. Specification status: VIOLATED. Anomaly status: ANOMALOUS. Drift status: DRIFT_FLAGGED. A predicted value of 29.6637 is available for 168h. The strongest risk factor reported by the Risk Engine is future factor.
